title,location,description,url
Akpatok Island,Canada,"Akpatok Island rises sharply out of the frigid water of Ungava Bay in northern Quebec, Canada. Composed primarily of limestone, the island is a flat, treeless plateau 23 kilometers wide, 45 kilometers long, and about 150 to 250 meters high. This 2001 Landsat 7 image shows Akpatok Island completely covered in snow and ice. Small, dark patches of open water appear between pieces of pale blue-green sea ice, and a few scattered clouds are shown in red. The surrounding sea and ice are home to polar bears, walruses, and whales. A traditional hunting ground for native Inuit people, Akpatok is almost inaccessible except by air. The island is an important sanctuary for seabirds that make their nests in the steep cliffs that circle the island.",2018_earth_as_art-nasa/OEBPS/image/akpatok_isl.jpg
Aleutian Clouds,Bering Sea ,"Clouds hover over the waters off the western Aleutian Islands, where fog, heavy rains, and high winds are common. While the clouds in this 2000 Landsat 7 image are structured differently, all the clouds shown are low, marine stratocumulus clouds, which often produce drizzle. The color variations are probably due to differences in the temperature and in the size of the water droplets that make up the clouds. The Aleutian Islands are part of the Pacific Ring of Fire. The archipelago curves out 1,800 kilometers from southwestern Alaska towards Russia’s Kamchatka Peninsula.",2018_earth_as_art-nasa/OEBPS/image/aleutian.jpg
Algerian Desert,Algeria,"Lying amid the Great Eastern Erg, the Great Western Erg, and the Atlas Mountains in Northern Africa, the Sahara Desert in central Algeria is dotted by fragmented mountains (in brown, lower right) where barren, windswept ridges overlook arid plains. In this Landsat 5 image from 2009, a system of dry streambeds crisscrosses the rocky landscape awaiting the rare, intense rains that often cause flash floods.",2018_earth_as_art-nasa/OEBPS/image/algerian_saha.jpg
Alluvial Fan,China,"A vast alluvial fan unfolds across the desolate landscape between the Kunlun and Altun mountain ranges that form the southern border of the Taklimakan Desert in China’s Xinjiang Province. The fan is about 60 kilometers long and 55 kilometers wide at its broadest point. The left side is the active part of the fan. Water flowing down from the mountains in the many small streams appears blue in this 2002 image from the Terra satellite. Vegetation appears red and can be seen in the upper left corner of the image. Farmers take advantage of water at the foot of the fan to irrigate small fields. The “lumpy” terrain at the top of the image is composed of sand dunes at the edge of the Taklimakan, one of the largest sandy deserts on Earth. Shifting sand dunes, some reaching as high as 200 meters, cover more than 80 percent of the desert floor.",2018_earth_as_art-nasa/OEBPS/image/alluvial_fan.jpg
Anti-Atlas Mountains,Morocco,"A part of the Atlas Mountains in northwest Africa, the Anti-Atlas range runs for several hundred kilometers. The range extends from the Atlantic Ocean in southwest Morocco toward the northeast, where it meets the High Atlas range closer to the Mediterranean Coast. The Anti-Atlas mountains formed as a result of continental collisions between 65 and 250 million years ago, which destroyed the then Tethys Ocean. The limestone, sandstone, claystone, and gypsum layers that formed the ocean bed were folded and crumpled to create the mountains. This Landsat 7 image from 2001 highlights some of the different rock types and illustrates the complex folding.",2018_earth_as_art-nasa/OEBPS/image/atlas_mts.jpg
Anyuyskiy Volcano,Russia,"Anyuyskiy Volcano lies north of the Kamchatka Peninsula in eastern Russia. Now dormant, the volcano was once active enough to send a massive lahar (an avalanche of volcanic ash and rock mixed with water) 50 kilometers down the west side of the volcano summit. The dried, hardened remains of the lahar persist today as a streak of barren rock on a landscape that is otherwise richly vegetated. In this Landsat 7 image from 2001, vegetation appears green, bare rock and ice appear bright red, and water appears navy blue. The Anyuyskiy lahar extends from the volcano’s north slope, turns sharply westward, and flows toward the west-southwest. Lakes occur along the margins of the lahar, and some small lakes appear on the lahar’s surface. Little vegetation has encroached on the ancient river of rock. Remote and largely inaccessible, the region is a rugged collection of towering volcanic peaks, steep valleys, and snow-fed rivers and streams.",2018_earth_as_art-nasa/OEBPS/image/anyuyskiy_vol.jpg
Belcher Islands,Canada,"The Belcher Islands are spread across some 13,000 square kilometers in southeastern Hudson Bay, but within that area, only about 3,000 square kilometers are actual islands and dry land. Landsat 7 captured this image of the archipelago in August 2000, when the north’s brief summer was coming to an end. The mostly brownish hues of the land areas in this image attest to a lack of vegetation, as cold temperatures prevent the growth of robust forests. The deep waters of the Hudson Bay appear almost black, with the exception of shallower areas close to land, which appear peacock blue. While they may appear delicate in this image, the Belcher Islands are composed of tough rock that has survived long stretches of geologic time. Geologists estimate that rocks in the 1,500-island archipelago range from 1.6 to 2.3 billion years old.",2018_earth_as_art-nasa/OEBPS/image/belcher_islan_2.jpg
Bogda Mountains,China,"The Turpan Depression, nestled at the foot of the Bogda Mountains in northwestern China, is a strange mix of salt lakes and sand dunes. At the bottom of the basin is Aydingkol Lake, which appears blue in this Landsat 7 image from 1999. Once a permanent lake and now a salty swamp, the lake is 155 meters below sea level, making it the third lowest place on Earth’s land surface after the Dead Sea and Africa’s Lake Assal. A region of temperature extremes, the Turpan Depression extends over 50,000 square kilometers. The city of Turpan, located in the higher northern part of the depression, was an important trading center on the ancient Silk Road.",2018_earth_as_art-nasa/OEBPS/image/bogda_mts.jpg
Bombetoka Bay,Madagascar,"Bombetoka Bay is located on the northwestern coast of Madagascar near the city of Mahajanga, where the Betsiboka River flows into the Mozambique Channel. Numerous islands and sandbars have formed in the estuary due to sediment carried by the Betsiboka River as well as the push and pull of tides. The past few decades have witnessed a dramatic increase in the amount of sediment moved by the river and deposited in the estuary and offshore delta lobes, affecting agriculture, fisheries, and transportation in Mahajanga, one of Madagascar’s busiest seaports. In this Terra image from 2000, dense vegetation is deep green and water is sapphire and tinged with pink where sediment is particularly thick.",2018_earth_as_art-nasa/OEBPS/image/bombetoka.jpg
Brandberg Massif,Namibia,"Over 120 million years ago, a single mass of granite punched through Earth’s crust and intruded into the heart of the Namib Desert in what is now northern Namibia. Today, Brandberg Massif towers over the arid desert below. The locals call it Dâures—the burning mountain. The granite core of this now-dormant volcano is a remnant of a long period of tumultuous volcanic and geologic activity on Earth during which the southern supercontinent of Gondwana was splitting apart.  The mountain influences the local climate, drawing more rain to its flanks than the desert below receives. The rain filters into the mountain’s deep crevices and slowly seeps out through springs. Unique plant and animal communities thrive in its high-altitude environment, and prehistoric cave paintings decorate walls hidden in the steep cliffs gouged in the mountain.  This 2002 Landsat 7 image also captured an older and more-eroded granite intrusion in the southwest. Along the Ugab River at the upper left, cracks line the brown face of an ancient plain of rock transformed into gneiss by heat, pressure, and time.",2018_earth_as_art-nasa/OEBPS/image/brandberg_mass.jpg
